site,year,month,day,temp_1m_C
Buckhorn,2009,10,29,6.528963187
Buckhorn,2009,10,30,12.10189866
Buckhorn,2009,10,31,9.808608158
Buckhorn,2009,11,1,6.56301047
Buckhorn,2009,11,2,7.260614306
Buckhorn,2009,11,3,6.935902154
Buckhorn,2009,11,4,9.804409039
Buckhorn,2009,11,5,9.740135191
Buckhorn,2009,11,6,6.964941718
Buckhorn,2009,11,7,5.848879873
Buckhorn,2009,11,8,6.565131369
Buckhorn,2009,11,9,7.007435606
Buckhorn,2009,11,10,6.452160557
Buckhorn,2009,11,11,5.01987654
Buckhorn,2009,11,12,4.342720658
Buckhorn,2009,11,13,3.490539957
Buckhorn,2009,11,14,2.576985572
Buckhorn,2009,11,15,5.706147534
Buckhorn,2009,11,16,8.796187612
Buckhorn,2009,11,17,5.247632022
Buckhorn,2009,11,18,4.020660823
Buckhorn,2009,11,19,8.23810278
Buckhorn,2009,11,20,6.105887918
Buckhorn,2009,11,21,3.051064279
Buckhorn,2009,11,22,4.855633737
Buckhorn,2009,11,23,5.990319304
Buckhorn,2009,11,24,7.911748901
Buckhorn,2009,11,25,8.57235447
Buckhorn,2009,11,26,7.687944062
Buckhorn,2009,11,27,5.399113164
Buckhorn,2009,11,28,5.187970669
Buckhorn,2009,11,29,7.074228599
Buckhorn,2009,11,30,5.544397309
Buckhorn,2009,12,1,3.650648849
Buckhorn,2009,12,2,1.861265029
Buckhorn,2009,12,3,0.801986577
Buckhorn,2009,12,4,0.102023205
Buckhorn,2009,12,5,1.354034302
Buckhorn,2009,12,6,-2.333079377
Buckhorn,2009,12,7,-5.561928465
Buckhorn,2009,12,8,-6.945192561
Buckhorn,2009,12,9,-6.509928744
Buckhorn,2009,12,10,-4.460384785
Buckhorn,2009,12,11,-3.980929359
Buckhorn,2009,12,12,-1.359045541
Buckhorn,2009,12,13,-0.533626233
Buckhorn,2009,12,14,2.864171781
Buckhorn,2009,12,15,6.217330358
Buckhorn,2009,12,16,7.92318059
Buckhorn,2009,12,17,7.131479524
Buckhorn,2009,12,18,6.636401565
Buckhorn,2009,12,19,8.096379591
Buckhorn,2009,12,20,9.671881812
Buckhorn,2009,12,21,4.709040352
Buckhorn,2009,12,22,0.769110568
Buckhorn,2009,12,23,0.837949931
Buckhorn,2009,12,24,-1.346445866
Buckhorn,2009,12,25,-1.618528191
Buckhorn,2009,12,26,1.134872553
Buckhorn,2009,12,27,0.73407821
Buckhorn,2009,12,28,2.513156681
Buckhorn,2009,12,29,-0.257976514
Buckhorn,2009,12,30,2.578174504
Buckhorn,2009,12,31,4.872692759
Buckhorn,2010,1,1,7.96774015
Buckhorn,2010,1,2,6.433709191
Buckhorn,2010,1,3,5.566151788
Buckhorn,2010,1,4,7.0282926
Buckhorn,2010,1,5,9.247582613
Buckhorn,2010,1,6,5.67465649
Buckhorn,2010,1,7,3.746313834
Buckhorn,2010,1,8,4.790385977
Buckhorn,2010,1,9,7.459844822
Buckhorn,2010,1,10,5.847335083
Buckhorn,2010,1,11,6.937078299
Buckhorn,2010,1,12,8.381273765
Buckhorn,2010,1,13,7.550459515
Buckhorn,2010,1,14,7.045041428
Buckhorn,2010,1,15,6.783796332
Buckhorn,2010,1,16,6.056511623
Buckhorn,2010,1,17,8.071742358
Buckhorn,2010,1,18,8.616397685
Buckhorn,2010,1,19,9.377746611
Buckhorn,2010,1,20,7.40553083
Buckhorn,2010,1,21,6.64948788
Buckhorn,2010,1,22,5.149186434
Buckhorn,2010,1,23,5.552401518
Buckhorn,2010,1,24,4.322312463
Buckhorn,2010,1,25,6.606893745
Buckhorn,2010,1,26,5.680021614
Buckhorn,2010,1,27,3.558674731
Buckhorn,2010,1,28,6.094305339
Buckhorn,2010,1,29,7.764850433
Buckhorn,2010,1,30,5.816901717
Buckhorn,2010,1,31,6.500443824
Buckhorn,2010,2,1,4.709919321
Buckhorn,2010,2,2,7.32023719
Buckhorn,2010,2,3,6.006731518
Buckhorn,2010,2,4,7.051295992
Buckhorn,2010,2,5,8.300091645
Buckhorn,2010,2,6,7.714948527
Buckhorn,2010,2,7,6.407546826
Buckhorn,2010,2,8,4.272368401
Buckhorn,2010,2,9,4.422456547
Buckhorn,2010,2,10,3.353079881
Buckhorn,2010,2,11,8.060898597
Buckhorn,2010,2,12,6.422504034
Buckhorn,2010,2,13,7.333746241
Buckhorn,2010,2,14,7.851039591
Buckhorn,2010,2,15,6.290822239
Buckhorn,2010,2,16,8.512385744
Buckhorn,2010,2,17,4.744672454
Buckhorn,2010,2,18,6.701549634
Buckhorn,2010,2,19,6.688581769
Buckhorn,2010,2,20,6.432095586
Buckhorn,2010,2,21,5.787054876
Buckhorn,2010,2,22,5.310735704
Buckhorn,2010,2,23,4.616194912
Buckhorn,2010,2,24,6.293739331
Buckhorn,2010,2,25,7.68767529
Buckhorn,2010,2,26,7.875530929
Buckhorn,2010,2,27,7.55663095
Buckhorn,2010,2,28,7.272440632
Buckhorn,2010,3,1,8.858612121
Buckhorn,2010,3,2,8.260083714
Buckhorn,2010,3,3,6.921954921
Buckhorn,2010,3,4,6.502171119
Buckhorn,2010,3,5,7.189249862
Buckhorn,2010,3,6,8.430300425
Buckhorn,2010,3,7,5.956731326
Buckhorn,2010,3,8,3.792671693
Buckhorn,2010,3,9,1.433231481
Buckhorn,2010,3,10,4.77187455
Buckhorn,2010,3,11,5.251205147
Buckhorn,2010,3,12,5.196940286
Buckhorn,2010,3,13,3.357218631
Buckhorn,2010,3,14,4.665314986
Buckhorn,2010,3,15,10.56675472
Buckhorn,2010,3,16,9.37769419
Buckhorn,2010,3,17,6.302203214
Buckhorn,2010,3,18,5.936282091
Buckhorn,2010,3,19,8.192905907
Buckhorn,2010,3,20,11.13573599
Buckhorn,2010,3,21,8.536873961
Buckhorn,2010,3,22,6.844303474
Buckhorn,2010,3,23,7.768027499
Buckhorn,2010,3,24,10.90920353
Buckhorn,2010,3,25,7.093438769
Buckhorn,2010,3,26,5.98661272
Buckhorn,2010,3,27,9.82699472
Buckhorn,2010,3,28,7.981913682
Buckhorn,2010,3,29,5.519601835
Buckhorn,2010,3,30,3.656805795
Buckhorn,2010,3,31,4.566437436
Buckhorn,2010,4,1,4.452537101
Buckhorn,2010,4,2,3.270354801
Buckhorn,2010,4,3,2.634976069
Buckhorn,2010,4,4,4.972664445
Buckhorn,2010,4,5,3.958204901
Buckhorn,2010,4,6,5.723631951
Buckhorn,2010,4,7,6.40011952
Buckhorn,2010,4,8,3.353685336
Buckhorn,2010,4,9,4.414377503
Buckhorn,2010,4,10,6.86710868
Buckhorn,2010,4,11,9.390301246
Buckhorn,2010,4,12,8.602343042
Buckhorn,2010,4,13,8.181804876
Buckhorn,2010,4,14,8.436832106
Buckhorn,2010,4,15,9.845877757
Buckhorn,2010,4,16,12.19102317
Buckhorn,2010,4,17,10.79693418
Buckhorn,2010,4,18,13.79934952
Buckhorn,2010,4,19,13.36971281
Buckhorn,2010,4,20,8.975341714
Buckhorn,2010,4,21,8.290088228
Buckhorn,2010,4,22,8.982620041
Buckhorn,2010,4,23,7.191349579
Buckhorn,2010,4,24,6.585611923
Buckhorn,2010,4,25,9.565881432
Buckhorn,2010,4,26,10.3534884
Buckhorn,2010,4,27,8.518932857
Buckhorn,2010,4,28,6.759651204
Buckhorn,2010,4,29,7.327342699
Buckhorn,2010,4,30,7.958079121
Buckhorn,2010,5,1,8.059760853
Buckhorn,2010,5,2,7.883142455
Buckhorn,2010,5,3,5.994345953
Buckhorn,2010,5,4,3.863111634
